Hours_Studied,Sleep_Hours,Attendance_Percentage,Previous_Score,Exam_Score
5.62,4.93,63.09,77.0,84.04
14.26,6.71,62.35,83.82,105.88
10.98,8.36,95.31,53.78,89.93
8.98,7.66,62.48,74.37,89.85
2.34,8.03,63.6,71.45,68.0
2.34,7.29,87.97,85.81,80.42
0.87,7.46,72.49,89.83,72.02
12.99,8.25,88.84,40.67,80.6
9.02,5.25,53.27,77.07,81.42
10.62,6.45,74.38,42.85,78.82
0.31,5.11,51.68,70.19,57.02
14.55,8.94,53.13,55.82,88.87
12.49,8.72,95.32,56.87,93.99
3.19,4.2,56.96,59.41,62.85
2.73,7.53,76.62,74.17,69.35
2.75,8.63,70.55,58.37,71.46
4.56,4.9,67.37,80.3,72.63
7.87,6.84,94.99,62.25,83.74
6.48,8.58,51.09,43.76,56.37
4.37,4.17,83.19,83.11,79.93
9.18,7.49,98.17,55.72,94.13
2.09,5.49,78.01,63.8,69.69
4.38,8.62,96.84,77.7,94.09
5.5,8.86,52.61,58.29,71.92
6.84,8.72,70.94,43.11,64.88
11.78,6.37,63.01,60.57,84.63
3.0,8.31,86.54,91.94,85.5
7.71,8.22,99.06,75.3,103.16
8.89,5.6,62.83,76.93,80.28
0.7,8.14,82.71,74.78,78.19
9.11,4.19,59.9,50.94,75.71
2.56,6.98,78.27,63.01,78.91
0.98,5.15,73.2,81.3,69.19
14.23,4.6,98.6,45.58,97.03
14.48,4.38,80.43,55.28,104.63
12.13,7.48,67.48,55.2,84.06
4.57,5.7,55.7,63.76,59.18
1.47,7.62,57.56,93.92,67.65
10.26,4.33,61.27,43.71,74.65
6.6,5.58,62.55,68.53,66.81
1.83,6.7,92.53,49.87,63.45
7.43,7.95,78.06,93.39,100.41
0.52,5.59,76.17,46.23,54.9
13.64,7.13,55.74,62.2,92.61
3.88,8.43,93.01,80.58,89.12
9.94,7.08,86.14,78.75,104.96
4.68,5.16,53.38,63.25,60.77
7.8,4.12,85.39,59.06,76.21
8.2,8.35,77.18,61.87,80.75
2.77,4.11,54.09,54.54,59.5
14.54,8.37,72.92,51.29,98.42
11.63,6.64,74.23,66.57,94.85
14.09,8.7,58.29,54.77,96.45
13.42,7.99,97.28,55.81,94.34
8.97,8.99,92.5,76.12,107.36
13.83,5.75,83.45,93.27,120.76
1.33,7.84,73.11,73.2,74.94
2.94,6.01,70.59,44.23,66.76
